BioSample	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	colection_date	country	host_status	isolation_source	serovar	specific_host	strain	Assay_Type	AssemblyName	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	Species
SAMEA1690463	ERX198293	251	6053912	2013-01-24	330	160	2013-01-24	ERR223633	ERS135577	SAMEA1690463 ERS135577	2010	USA: Los Angeles	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS127	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690370	ERX198294	251	6053913	2013-01-24	377	182	2013-01-24	ERR223634	ERS135331	SAMEA1690370 ERS135331	2010	USA: Los Angeles	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS128	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690390	ERX198295	251	6053914	2013-01-24	338	163	2013-01-24	ERR223635	ERS135332	SAMEA1690390 ERS135332	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS129	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690443	ERX198296	251	6053915	2013-01-24	393	191	2013-01-24	ERR223636	ERS135578	SAMEA1690443 ERS135578	2009	USA: San Diego	disease	urethra	ST 1901/NG 1978	Homo sapiens	GCGS130	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690329	ERX198297	251	6053916	2013-01-24	358	174	2013-01-24	ERR223637	ERS135334	SAMEA1690329 ERS135334	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS131	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690488	ERX198298	251	6053917	2013-01-24	338	164	2013-01-24	ERR223638	ERS135335	SAMEA1690488 ERS135335	2009	USA: San Diego	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS132	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690442	ERX198299	251	6053918	2013-01-24	351	173	2013-01-24	ERR223639	ERS135660	SAMEA1690442 ERS135660	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS133	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690452	ERX198300	251	6053919	2013-01-24	366	177	2013-01-24	ERR223640	ERS135337	SAMEA1690452 ERS135337	2009	USA: San Diego	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS134	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690430	ERX198301	251	6053920	2013-01-24	306	149	2013-01-24	ERR223641	ERS135338	SAMEA1690430 ERS135338	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS135	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690383	ERX198302	251	6053921	2013-01-24	325	156	2013-01-24	ERR223642	ERS135580	SAMEA1690383 ERS135580	2010	USA: Los Angeles	disease	urethra	ST 9363/NG Unknown	Homo sapiens	GCGS136	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690386	ERX198303	251	6053922	2013-01-24	262	127	2013-01-24	ERR223643	ERS135340	SAMEA1690386 ERS135340	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS137	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690409	ERX198304	251	6053923	2013-01-24	450	217	2013-01-24	ERR223644	ERS135341	SAMEA1690409 ERS135341	2010	USA: Los Angeles	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS138	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690410	ERX198305	251	6053924	2013-01-24	345	168	2013-01-24	ERR223645	ERS135581	SAMEA1690410 ERS135581	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS139	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690429	ERX198306	251	6053925	2013-01-24	301	146	2013-01-24	ERR223646	ERS135343	SAMEA1690429 ERS135343	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1978	Homo sapiens	GCGS140	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690455	ERX198307	251	6053926	2013-01-24	371	180	2013-01-24	ERR223647	ERS135344	SAMEA1690455 ERS135344	2010	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS141	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690320	ERX198308	251	6053927	2013-01-24	326	157	2013-01-24	ERR223648	ERS135661	SAMEA1690320 ERS135661	2009	USA: Las Vegas	disease	urethra	ST 1579/NG 3485	Homo sapiens	GCGS142	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690508	ERX198309	251	6053928	2013-01-24	323	156	2013-01-24	ERR223649	ERS135346	SAMEA1690508 ERS135346	2010	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS143	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690341	ERX198310	251	6053929	2013-01-24	361	174	2013-01-24	ERR223650	ERS135347	SAMEA1690341 ERS135347	2009	USA: Las Vegas	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS144	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690353	ERX198311	251	6053930	2013-01-24	589	283	2013-01-24	ERR223651	ERS135583	SAMEA1690353 ERS135583	2010	USA: Las Vegas	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS145	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690407	ERX198312	251	6053931	2013-01-24	498	244	2013-01-24	ERR223652	ERS135349	SAMEA1690407 ERS135349	2009	USA: Las Vegas	disease	urethra	ST 1588/NG 3307	Homo sapiens	GCGS146	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690405	ERX198313	251	6053932	2013-01-24	433	210	2013-01-24	ERR223653	ERS135350	SAMEA1690405 ERS135350	2010	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS147	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690473	ERX198314	251	6053933	2013-01-24	329	159	2013-01-24	ERR223654	ERS135584	SAMEA1690473 ERS135584	2009	USA: San Francisco	disease	urethra	ST 1901/NG 1440	Homo sapiens	GCGS148	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690358	ERX198315	251	6053934	2013-01-24	326	158	2013-01-24	ERR223655	ERS135352	SAMEA1690358 ERS135352	2010	USA: Las Vegas	disease	urethra	ST 1580/NG 5895	Homo sapiens	GCGS149	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690337	ERX198316	251	6053935	2013-01-24	449	227	2013-01-24	ERR223656	ERS135353	SAMEA1690337 ERS135353	2009	USA: San Diego	disease	urethra	ST 1903/NG 7132	Homo sapiens	GCGS150	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690447	ERX198317	251	6053936	2013-01-24	443	214	2013-01-24	ERR223657	ERS135688	SAMEA1690447 ERS135688	2010	USA: Las Vegas	disease	urethra	ST 8129/NG 1407	Homo sapiens	GCGS151	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690511	ERX198318	251	6053937	2013-01-24	393	190	2013-01-24	ERR223658	ERS135355	SAMEA1690511 ERS135355	2010	USA: Las Vegas	disease	urethra	ST 7822/NG 1791	Homo sapiens	GCGS152	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690479	ERX198319	251	6053938	2013-01-24	360	174	2013-01-24	ERR223659	ERS135356	SAMEA1690479 ERS135356	2010	USA: Las Vegas	disease	urethra	ST 1580/NG 5895	Homo sapiens	GCGS153	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690500	ERX198320	251	6053939	2013-01-24	379	188	2013-01-24	ERR223660	ERS135586	SAMEA1690500 ERS135586	2009	USA: San Diego	disease	urethra	ST 8130/NG 758	Homo sapiens	GCGS154	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690428	ERX198321	251	6053940	2013-01-24	373	180	2013-01-24	ERR223661	ERS135358	SAMEA1690428 ERS135358	2010	USA: Minneapolis	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS155	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690403	ERX198322	251	6053941	2013-01-24	376	181	2013-01-24	ERR223662	ERS135359	SAMEA1690403 ERS135359	2010	USA: Minneapolis	disease	urethra	ST 9363/NG Unknown	Homo sapiens	GCGS156	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690439	ERX198323	251	6053942	2013-01-24	366	176	2013-01-24	ERR223663	ERS135587	SAMEA1690439 ERS135587	2010	USA: New York City	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS157	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690368	ERX198324	251	6053943	2013-01-24	783	382	2013-01-24	ERR223664	ERS135361	SAMEA1690368 ERS135361	2009	USA: Philadelphia	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS158	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690457	ERX198325	251	6053944	2013-01-24	548	265	2013-01-24	ERR223665	ERS135362	SAMEA1690457 ERS135362	2010	USA: Orange County	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS159	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690369	ERX198326	251	6053945	2013-01-24	369	179	2013-01-24	ERR223666	ERS135663	SAMEA1690369 ERS135663	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS160	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690505	ERX198327	251	6053946	2013-01-24	419	202	2013-01-24	ERR223667	ERS135364	SAMEA1690505 ERS135364	2010	USA: Orange County	disease	urethra	ST 1580/NG 5895	Homo sapiens	GCGS161	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690489	ERX198328	251	6053947	2013-01-24	844	419	2013-01-24	ERR223668	ERS135365	SAMEA1690489 ERS135365	2009	USA: San Diego	disease	urethra	ST 8152/NG 5268	Homo sapiens	GCGS162	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690421	ERX198329	251	6053948	2013-01-24	330	160	2013-01-24	ERR223669	ERS135589	SAMEA1690421 ERS135589	2010	USA: Philadelphia	disease	urethra	ST 1901/NG 3431	Homo sapiens	GCGS163	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690343	ERX198330	251	6053949	2013-01-24	301	145	2013-01-24	ERR223670	ERS135367	SAMEA1690343 ERS135367	2009	USA: Philadelphia	disease	urethra	ST 1901/NG 2493	Homo sapiens	GCGS164	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690336	ERX198331	251	6053950	2013-01-24	340	166	2013-01-24	ERR223671	ERS135368	SAMEA1690336 ERS135368	2010	USA: Phoenix	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS165	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690478	ERX198332	251	6053951	2013-01-24	374	181	2013-01-24	ERR223672	ERS135590	SAMEA1690478 ERS135590	2009	USA: Phoenix	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS166	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690434	ERX198333	251	6053952	2013-01-24	395	192	2013-01-24	ERR223673	ERS135370	SAMEA1690434 ERS135370	2010	USA: Phoenix	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS167	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690466	ERX198334	251	6053953	2013-01-24	431	207	2013-01-24	ERR223674	ERS135371	SAMEA1690466 ERS135371	2010	USA: Phoenix	disease	urethra	ST 1901/NG 225	Homo sapiens	GCGS168	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690382	ERX198335	251	6053954	2013-01-24	529	255	2013-01-24	ERR223675	ERS135664	SAMEA1690382 ERS135664	2010	USA: Phoenix	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS169	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690487	ERX198336	251	6053955	2013-01-24	715	341	2013-01-24	ERR223676	ERS135373	SAMEA1690487 ERS135373	2010	USA: Phoenix	disease	urethra	ST 1901/NG 225	Homo sapiens	GCGS170	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690321	ERX198337	251	6053956	2013-01-24	385	184	2013-01-24	ERR223677	ERS135374	SAMEA1690321 ERS135374	2010	USA: Phoenix	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS171	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690330	ERX198338	251	6053957	2013-01-24	365	173	2013-01-24	ERR223678	ERS135592	SAMEA1690330 ERS135592	2010	USA: Phoenix	disease	urethra	ST 1893/NG 6306	Homo sapiens	GCGS172	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690367	ERX198339	251	6053958	2013-01-24	435	209	2013-01-24	ERR223679	ERS135376	SAMEA1690367 ERS135376	2010	USA: Phoenix	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS173	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690389	ERX198340	251	6053959	2013-01-24	336	161	2013-01-24	ERR223680	ERS135377	SAMEA1690389 ERS135377	2010	USA: Phoenix	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS174	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690355	ERX198341	251	6053960	2013-01-24	464	226	2013-01-24	ERR223681	ERS135593	SAMEA1690355 ERS135593	2010	USA: Phoenix	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS175	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690402	ERX198342	251	6053961	2013-01-24	420	204	2013-01-24	ERR223682	ERS135379	SAMEA1690402 ERS135379	2010	USA: Phoenix	disease	urethra	ST 9363/NG Unknown	Homo sapiens	GCGS176	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690346	ERX198343	251	6053962	2013-01-24	411	198	2013-01-24	ERR223683	ERS135380	SAMEA1690346 ERS135380	2010	USA: Phoenix	disease	urethra	ST 1901/NG New	Homo sapiens	GCGS177	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690470	ERX198344	251	6053963	2013-01-24	405	200	2013-01-24	ERR223684	ERS135697	SAMEA1690470 ERS135697	2010	USA: Phoenix	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS178	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690483	ERX198345	251	6053964	2013-01-24	414	200	2013-01-24	ERR223685	ERS135382	SAMEA1690483 ERS135382	2010	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS179	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690507	ERX198346	251	6053965	2013-01-24	412	199	2013-01-24	ERR223686	ERS135383	SAMEA1690507 ERS135383	2009	USA: Las Vegas	disease	urethra	ST 1588/NG New	Homo sapiens	GCGS180	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690400	ERX198347	251	6053966	2013-01-24	621	300	2013-01-24	ERR223687	ERS135595	SAMEA1690400 ERS135595	2010	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS181	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690446	ERX198348	251	6053967	2013-01-24	1099	532	2013-01-24	ERR223688	ERS135385	SAMEA1690446 ERS135385	2009	USA: Las Vegas	disease	urethra	ST 1579/NG 286	Homo sapiens	GCGS182	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690381	ERX198349	251	6053968	2013-01-24	708	342	2013-01-24	ERR223689	ERS135386	SAMEA1690381 ERS135386	2010	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS183	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690415	ERX198350	251	6053969	2013-01-24	953	474	2013-01-24	ERR223690	ERS135596	SAMEA1690415 ERS135596	2009	USA: Las Vegas	disease	urethra	ST 1582/NG 4424	Homo sapiens	GCGS184	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690404	ERX198351	251	6053970	2013-01-24	430	208	2013-01-24	ERR223691	ERS135388	SAMEA1690404 ERS135388	2010	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS185	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690314	ERX198352	251	6053971	2013-01-24	593	291	2013-01-24	ERR223692	ERS135389	SAMEA1690314 ERS135389	2009	USA: Las Vegas	disease	urethra	ST 1588/NG New	Homo sapiens	GCGS186	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690426	ERX198353	251	6053972	2013-01-24	414	203	2013-01-24	ERR223693	ERS135666	SAMEA1690426 ERS135666	2010	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS187	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690499	ERX198354	251	6053973	2013-01-24	350	170	2013-01-24	ERR223694	ERS135391	SAMEA1690499 ERS135391	2009	USA: Las Vegas	disease	urethra	ST 1588/NG New	Homo sapiens	GCGS188	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690494	ERX198355	251	6053974	2013-01-24	388	186	2013-01-24	ERR223695	ERS135392	SAMEA1690494 ERS135392	2010	USA: San Diego	disease	urethra	ST 1901/NG 4556	Homo sapiens	GCGS189	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
